"","year","da","NUM_COLLISIONS","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","rain_drizzle","snow_ice_pellets","hail","thunder","tornado_funnel_cloud","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Sat","Sun","Thu","Tue","Wed"
"42",2021,29,291,18.1,8.9,1010.8,8.5,21.7,27,38.1,37,10.9,0.01,999.9,1,0,0,0,1000,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"43",2021,30,284,19.2,11.2,1020.3,9.5,15.3,27,40,23,10.9,0,999.9,1,0,0,0,1000,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",2020,5,291,40.1,33.8,1001.6,7.1,17,27,38.1,48.9,36,0.38,999.9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"45",2022,15,235,24.2,11.7,1014.8,8.8,23,33,54,37,16,0.39,999.9,1,0,0,0,1000,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",2022,14,287,45,41.8,1006.4,7.2,17.2,40,52.1,48.9,27,0.06,999.9,1,1,0,0,0,11000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"47",2022,29,276,34.4,30.6,1002.7,3.7,28.1,46,61,42.1,26.1,0.53,999.9,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",2020,22,489,27.1,14.3,1029.8,10,4.2,8.9,999.9,34,17.1,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"49",2016,28,681,35,24.4,1016.1,10,4.3,8.9,999.9,46,23,0.09,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"50",2020,14,497,41.5,37.7,1026.2,8.8,5.3,8.9,999.9,44.1,37.9,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"51",2014,17,589,38.6,35.8,1014.8,6.7,3.7,8.9,999.9,44.1,32,0,999.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"52",2021,11,238,32.6,27.9,1024.6,10,4.5,8.9,999.9,44.1,21,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"53",2020,31,518,29.8,22.3,1027.4,10,3.3,8.9,999.9,39.9,19,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"54",2016,25,658,33.5,21.2,1021.4,10,6.5,8.9,999.9,37.9,30,0.02,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"55",2016,29,645,41.3,36.8,999.4,10,5.9,9.9,999.9,45,23,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"56",2020,4,353,45.4,43.9,1005.6,3.6,5.7,9.9,999.9,48.9,44.1,0.08,999.9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
