"","day","year","mo","da","collision_date","NUM_COLLISIONS","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","rain_drizzle","snow_ice_pellets","hail","thunder","tornado_funnel_cloud"
"116",3,2013,1,2,"2013-01-02",480,27.5,12.1,1013.4,10,12.4,15.9,25.1,33.1,21.9,0,999.9,0,0,0,0,0,0
"117",6,2019,1,26,"2019-01-26",533,30.5,15.4,1022.6,10,7.9,15.9,21,37.9,21,0,999.9,0,0,0,0,0,0
"118",3,2014,1,15,"2014-01-15",583,41.1,38.4,1013.3,6.5,6,15.9,24.1,48.9,32,0.62,999.9,0,1,0,0,0,0
"120",5,2014,1,24,"2014-01-24",705,14.8,-0.5,1022.4,10,11.8,15.9,22.9,23,9,0,999.9,0,0,0,0,0,0
"121",4,2022,1,20,"2022-01-20",246,42.7,36.8,1016.5,7.8,10.5,15.9,21,48.9,35.6,0,999.9,1,1,0,0,0,11000
"122",7,2022,1,2,"2022-01-02",176,52.1,50.4,1001.8,2,6.6,15.9,25.1,55,46.9,0.41,999.9,1,1,0,0,0,0
"123",2,2021,1,19,"2021-01-19",261,35.8,23.9,1013.2,10,11.3,15.9,22.9,45,28.9,0,999.9,0,0,0,0,0,0
"125",6,2016,1,9,"2016-01-09",554,45.9,38.6,1022.7,10,9.3,15.9,21,50,30.9,0,999.9,0,0,0,0,0,0
"126",6,2013,1,26,"2013-01-26",558,24.4,16.6,1016.4,8.6,10.5,15.9,19,28,21.9,0,999.9,0,0,1,0,0,0
"128",1,2013,1,14,"2013-01-14",542,47.2,47.1,1017.5,1.3,8.2,15.9,21,51.8,44.6,0,999.9,1,0,0,0,0,0
"129",4,2014,1,30,"2014-01-30",657,22,5.8,1027.2,10,8.1,15.9,24.1,27,12.9,0.01,999.9,0,0,0,0,0,0
"130",4,2021,1,21,"2021-01-21",251,30.9,20.6,1010.2,10,10.4,17.1,22.9,41,19.9,0,999.9,0,0,0,0,0,0
"131",4,2019,1,17,"2019-01-17",586,29.4,15,1024.6,10,11.2,17.1,25.1,43,19,0,999.9,0,0,0,0,0,0
"132",4,2018,1,25,"2018-01-25",602,28,12.4,1021.1,10,13.2,17.1,24.1,44.1,23,0,999.9,0,0,0,0,0,0
"133",7,2016,1,31,"2016-01-31",532,45,39,1014.8,8.6,12.5,17.1,24.1,50,34,0,999.9,0,0,0,0,0,0
"134",2,2020,1,28,"2020-01-28",404,39.4,28.8,1005.1,10,9.8,17.1,21,45,36,0,999.9,0,0,0,0,0,0
"135",3,2022,1,26,"2022-01-26",265,31.3,15.1,1021.4,10,13,17.1,22.9,48.9,26.1,0,999.9,0,0,0,0,0,0
